Kod produktu,active,stock,price,Nazwa produktu,Kondycja|797|select,Producent|798|select,Model|799|text,Seria procesora|800|select,Stan ekranu|801|text,Stan obudowy|802|text,Procesor|803|select,Ilość rdzeni|805|select,Ilość pamięci RAM|806|select,Dysk|808|select,Licencja|811|select,Ekran dotykowy|814|select,Rozdzielczość ekranu|815|select,Przekątna ekranu|816|select,Rodzaj karty graficznej|818|select,Bateria|823|select,Zainstalowany system|1078|select,1,2,3,4
4496,1,16,799,"Laptop Lenovo Miix 510-12IKB i5 - 7200U | 8GB 256GB SSD | 12,2"" 1920 x 1080 | Windows 11 Pro [A-]","""A-"" poleasingowy, przetestowany",Lenovo,Miix 510-12IKB,Intel Core i5,"Występują poświatki, drobne otarcia, ryski","Normalne, małe ślady użytkowania, naklejony profesjonalnie wykonany skin","i5 - 7200U, 3MB Cache, 7 gen.",2,8GB,256GB,Windows 10 Professional,Tak,1920 x 1080,"12,2""",Zintegrowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,a,b,b,
5085,1,34,475,"Laptop HP EliteBook 820 G3 i5 - 6200U | 8GB 240GB SSD | 12,5"" 1366 x 768 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",HP,EliteBook 820 G3,Intel Core i5,"Możliwe drobne ryski, poświatki",Normalne ślady użytkowania,"i5 - 6200U, 3MB Cache, 6 gen.",2,8GB,240GB,Windows 10 Professional,Nie,1366 x 768,"12,5""",Zintegrowana,"Oryginalna, czas pracy od 2h do 4h (używana)",Windows 10 Professional,a,b,a,
4577,1,64,549,"Laptop Dell Latitude 5290 i5 - 7300U | 8GB 256GB SSD | 12,5"" 1366 x 768 | Windows 11 Pro [A-]","""A-"" poleasingowy, przetestowany",Dell,Latitude 5290,Intel Core i5,"Możliwe delikatne otarcia, poświatki,ryski","Normalne, małe ślady użytkowania","i5 - 7300U, 3MB Cache, 7 gen.",2,8GB,256GB,Windows 10 Professional,Nie,1366 x 768,"12,5""",Zintegrowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 11 Pro,a,b,a,
4110,1,20,599,"Laptop Dell Latitude 5289 i5 - 7300U | 8GB 240GB SSD | 12,5"" 1920 x 1080 | Windows 11 Pro [A-]","""A-"" poleasingowy, przetestowany",Dell,Latitude 5289,Intel Core i5,"Możliwe drobne ryski, otarcia, poświatki","Normalne ślady użytkowania, ryski/otarcia na klapie","i5 - 7300U, 3MB Cache, 7 gen.",2,8GB,240GB,Windows 10 Professional,Tak,1920 x 1080,"12,5""",Zintegrowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,a,b,a,
4373,1,62,599,"Laptop Dell Latitude 5290 i5 - 7300U | 8GB 256GB SSD | 12,5"" 1366 x 768 | Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",Dell,Latitude 5290,Intel Core i5,Bez wad,"Normalne, małe ślady użytkowania","i5 - 7300U, 3MB Cache, 7 gen.",2,8GB,256GB,Windows 10 Professional,Nie,1366 x 768,"12,5""",Zintegrowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 11 Pro,a,b,a,
6035,1,16,699,"Laptop Dell Latitude 7290 i5 - 7300U | 8GB 256GB SSD | 12,5"" 1366 x 768 | Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",Dell,Latitude 7290,Intel Core i5,Bez wad,"Normalne, delikatne ślady użytkowania","i5 - 7300U, 3MB Cache, 7 gen.",2,8GB,256GB,Windows 10 Professional,Nie,1366 x 768,"12,5""",Zintegrowana,"Oryginalna, czas pracy min. 1,5h (używana)",Windows 11 Pro,a,b,b,
5661,1,18,699,"Laptop Fujitsu Lifebook U728 i5 - 7200U | 16GB 480GB SSD | 12,5"" 1920 x 1080 | Windows 10 lub Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",Fujitsu,Lifebook U728,Intel Core i5,Bez wad,"Normalne ślady użytkowania, na klapie możliwy skin","i5 - 7200U, 3MB Cache, 7 gen.",2,16GB,480GB,Windows 10 Professional,Nie,1920 x 1080,"12,5""",Zintegrowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 10 lub 11 Pro,a,b,b,
4028,1,70,699,"Laptop Fujitsu Lifebook U727 i7 - 7600U | 16GB 480GB SSD | 12,5"" 1920 x 1080 | Windows 10 lub 11 Pro [A]","""A"" poleasingowy, przetestowany",Fujitsu,Lifebook U727,Intel Core i7,Bez wad,"Normalne ślady użytkowania, na klapie możliwy skin","i7 - 7600U, 4MB Cache, 7 gen.",2,16GB,480GB,Windows 10 Professional,Tak,1920 x 1080,"12,5""",Zintegrowana,"Oryginalna, czas pracy min. 1,5h (używana)",Windows 10 lub 11 Pro,a,b,b,
5628,1,10,399,"Laptop Dell Latitude E6330 i5 - 3340M | 4GB 120GB SSD | 13,3"" 1366 x 768 | Windows 10 Professional [A]","""A"" poleasingowy, przetestowany",Dell,Latitude E6330,Intel Core i5,Bez wad,"Normalne, delikatne ślady użytkowania","i5 - 3340M, 3MB Cache, 3 gen.",2,4GB,120GB,Windows 7 Professional,Nie,1366 x 768,"13,3""",Zintegrowana,"Oryginalna, czas pracy od 1h do 2,5h (używana)",Windows 10 Professional,a,b,a,
5644,1,19,444,"Laptop HP ProBook 430 G3 i3 - 6100U | 8GB 120GB 500GB SSD+HDD | 13,3"" 1366 x 768 | Windows 11 Pro [A-]","""A-"" poleasingowy, przetestowany",HP,ProBook 430 G3,Intel Core i5,Możliwe poświatki/otarcia na matrycy,"Normalne,delikatne ślady użytkowania","i3 - 6100U, 3MB Cache, 6 gen.",2,8GB,120GB,Windows 10 Professional,Nie,1366 x 768,"13,3""",Zintegrowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,a,b,a,
